k,accuracy,fscore,precision,recall
0,0.8504366812227074,0.8007761827844374,0.7752319652343029,0.8504366812227074
1,0.425764192139738,0.28251388107788644,0.21251584641982477,0.425764192139738
2,0.5028506271379704,0.4999249210733473,0.6003581697715151,0.5028506271379704
3,0.7865168539325843,0.7725741081158031,0.7699206210526016,0.7865168539325843
4,0.7125,0.7026613951182916,0.7120499379652606,0.7125
5,0.7333333333333333,0.7046090534979422,0.7099214039621018,0.7333333333333333
6,0.8095238095238095,0.7886904761904762,0.7889822595704947,0.8095238095238095
7,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
8,1.0,1.0,1.0,1.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
14,1.0,0.639308405932111,0.6360754003058541,0.6657122177402675
